,LastName,Week,Stage,Historical_Cumulative,WeeklyGoal,Current_Cumulative,GoalVariance
4205,GregoryGBC,46,Act,16.0,23.96153846153846,10.0,-13.96153846153846
4206,GregoryGBC,47,Act,16.666666666666668,24.80128205128205,17.0,-7.801282051282051
4207,GregoryGBC,48,Act,17.666666666666668,25.974358974358978,18.0,-7.974358974358978
4208,GregoryGBC,49,Act,17.666666666666668,26.147435897435898,18.0,-8.147435897435898
4209,GregoryGBC,50,Act,19.0,27.653846153846153,18.0,-9.653846153846153
4210,GregoryGBC,51,Act,19.0,27.826923076923077,18.0,-9.826923076923077
4211,GregoryGBC,52,Act,19.0,28.0,18.0,-10.0
4212,GregoryGBC,1,Adm,8.666666666666666,9.358974358974358,7.0,-2.3589743589743577
4213,GregoryGBC,2,Adm,8.666666666666666,10.051282051282051,8.0,-2.051282051282051
4214,GregoryGBC,3,Adm,8.666666666666666,10.743589743589743,9.0,-1.7435897435897427
4215,GregoryGBC,4,Adm,9.0,11.76923076923077,10.0,-1.76923076923077
4216,GregoryGBC,5,Adm,9.0,12.461538461538462,10.0,-2.4615384615384617
4217,GregoryGBC,6,Adm,10.333333333333334,14.487179487179489,11.0,-3.487179487179489
4218,GregoryGBC,7,Adm,10.666666666666666,15.512820512820511,11.0,-4.512820512820511
4219,GregoryGBC,8,Adm,11.666666666666666,17.205128205128204,11.0,-6.205128205128204
4220,GregoryGBC,9,Adm,14.0,20.23076923076923,11.0,-9.23076923076923
4221,GregoryGBC,10,Adm,16.666666666666668,23.58974358974359,14.0,-9.589743589743591
4222,GregoryGBC,11,Adm,20.333333333333332,27.94871794871795,17.0,-10.948717948717949
4223,GregoryGBC,12,Adm,24.0,32.30769230769231,27.0,-5.307692307692307
4224,GregoryGBC,13,Adm,27.333333333333332,36.33333333333333,32.0,-4.333333333333329
4225,GregoryGBC,14,Adm,27.666666666666668,37.35897435897436,32.0,-5.358974358974358
4226,GregoryGBC,15,Adm,27.666666666666668,38.05128205128205,42.0,3.948717948717949
4227,GregoryGBC,16,Adm,29.333333333333332,40.41025641025641,44.0,3.589743589743591
4228,GregoryGBC,17,Adm,32.333333333333336,44.1025641025641,46.0,1.8974358974358978
4229,GregoryGBC,18,Adm,34.333333333333336,46.794871794871796,53.0,6.205128205128204
4230,GregoryGBC,19,Adm,36.0,49.15384615384615,53.0,3.8461538461538467
4231,GregoryGBC,20,Adm,38.666666666666664,52.51282051282051,57.0,4.487179487179489
4232,GregoryGBC,21,Adm,42.0,56.53846153846154,60.0,3.46153846153846
4233,GregoryGBC,22,Adm,45.666666666666664,60.8974358974359,65.0,4.102564102564102
4234,GregoryGBC,23,Adm,51.0,66.92307692307692,71.0,4.07692307692308
4235,GregoryGBC,24,Adm,54.333333333333336,70.94871794871796,72.0,1.051282051282044
4236,GregoryGBC,25,Adm,56.666666666666664,73.97435897435898,76.0,2.025641025641022
4237,GregoryGBC,26,Adm,57.0,75.0,76.0,1.0
4238,GregoryGBC,27,Adm,57.0,75.6923076923077,77.0,1.3076923076923066
4239,GregoryGBC,28,Adm,57.333333333333336,76.71794871794872,77.0,0.2820512820512846
4240,GregoryGBC,29,Adm,58.0,78.07692307692308,77.0,-1.0769230769230802
4241,GregoryGBC,30,Adm,59.666666666666664,80.43589743589743,77.0,-3.435897435897431
4242,GregoryGBC,31,Adm,60.333333333333336,81.7948717948718,77.0,-4.794871794871796
